source_file,experiment_id,architecture,communication_mode,source,started_at,stopped_at,interval_ms,duration_seconds,expected_messages,received_messages,missing_messages,sequence_gap_messages,throughput_percent,messages_per_second,estimated_latency_avg_ms,estimated_latency_min_ms,estimated_latency_max_ms,estimated_latency_std_ms,estimated_latency_p95_ms,uncertainty_avg_ms,uncertainty_p95_ms,uncertainty_max_ms,invalid_messages,application_version,replication_number,environment,saturation_indicators,saturation_status
backend-node_rest-polling_serial_1000ms_rep1_2026-05-30T05-39-41-621Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-36-38-504Z,backend-node,rest-polling,serial,2026-05-30T05:36:38.504Z,2026-05-30T05:37:38.679Z,200,60,300,295,5,5,98.333,4.902,106.126,5.315,205.293,57.403,193.803,2.509,2.509,2.509,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:36:38.505Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=200; campaignType=saturation-refinement,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1000ms_rep1_2026-05-30T05-39-41-621Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-37-39-868Z,backend-node,rest-polling,serial,2026-05-30T05:37:39.868Z,2026-05-30T05:38:39.915Z,500,60,120,117,3,2,97.5,1.948,268.216,9.65,497.904,146.11,483.138,2.569,2.569,2.569,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:37:39.869Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=500; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 500 ms foram detectadas perdas de mensagens. | A partir de 500 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 500 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1000ms_rep1_2026-05-30T05-39-41-621Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-38-41-099Z,backend-node,rest-polling,serial,2026-05-30T05:38:41.099Z,2026-05-30T05:39:41.614Z,1000,60,60,59,1,0,98.333,0.975,322.592,82.954,577.948,148.24,549.018,2.555,2.555,2.555,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:38:41.100Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=1000; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 1000 ms foram detectadas perdas de mensagens. | A partir de 1000 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 1000 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1000ms_rep2_2026-05-30T05-42-46-084Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-39-42-810Z,backend-node,rest-polling,serial,2026-05-30T05:39:42.810Z,2026-05-30T05:40:42.916Z,200,60,300,295,5,4,98.333,4.908,104.084,5.238,203.682,55.88,192.179,2.547,2.547,2.547,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:39:42.812Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=200; campaignType=saturation-refinement,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1000ms_rep2_2026-05-30T05-42-46-084Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-40-44-115Z,backend-node,rest-polling,serial,2026-05-30T05:40:44.115Z,2026-05-30T05:41:44.421Z,500,60,120,118,2,1,98.333,1.957,231.409,6.273,495.289,123.976,451.467,2.567,2.567,2.567,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:40:44.117Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=500; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 500 ms foram detectadas perdas de mensagens. | A partir de 500 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 500 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1000ms_rep2_2026-05-30T05-42-46-084Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-41-45-600Z,backend-node,rest-polling,serial,2026-05-30T05:41:45.600Z,2026-05-30T05:42:46.078Z,1000,60,60,59,1,0,98.333,0.976,318.302,69.744,526.949,141.046,510.186,2.504,2.504,2.504,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:41:45.601Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=1000; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 1000 ms foram detectadas perdas de mensagens. | A partir de 1000 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 1000 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1000ms_rep3_2026-05-30T05-45-50-445Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-42-47-250Z,backend-node,rest-polling,serial,2026-05-30T05:42:47.250Z,2026-05-30T05:43:47.454Z,200,60,300,295,5,5,98.333,4.9,108.438,5.479,205.28,58.381,196.837,2.548,2.548,2.548,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:42:47.252Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=200; campaignType=saturation-refinement,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1000ms_rep3_2026-05-30T05-45-50-445Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-43-48-627Z,backend-node,rest-polling,serial,2026-05-30T05:43:48.627Z,2026-05-30T05:44:48.646Z,500,60,120,117,3,2,97.5,1.949,238.795,13.986,505.462,151.371,489.875,2.504,2.504,2.504,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:43:48.628Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=500; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 500 ms foram detectadas perdas de mensagens. | A partir de 500 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 500 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1000ms_rep3_2026-05-30T05-45-50-445Z_saturation-refinement_campaign-summary.csv,exp-2026-05-30T05-44-49-821Z,backend-node,rest-polling,serial,2026-05-30T05:44:49.821Z,2026-05-30T05:45:50.438Z,1000,60,60,59,1,0,98.333,0.973,383.072,72.705,660.835,172.217,640.975,2.68,2.68,2.68,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T05:44:49.822Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=1000; campaignType=saturation-refinement,message_loss_detected | latency_average_doubled | latency_p95_doubled,A partir de 1000 ms foram detectadas perdas de mensagens. | A partir de 1000 ms a latencia estimada media dobrou em relacao ao baseline de 200 ms. | A partir de 1000 ms o p95 de latencia estimada dobrou em relacao ao baseline de 200 ms.
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-10-01-178Z,backend-node,rest-polling,serial,2026-05-30T04:10:01.178Z,2026-05-30T04:11:01.221Z,100,60,600,549,51,51,91.5,9.143,54.66,5.005,104.911,28.849,100.415,2.626,2.626,2.626,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:10:01.179Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=100,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
